,plaintext,ciphertext
15873,0a4a,f029
15874,f399,4660
15875,3356,9703
15876,47d4,83a8
15877,bc1f,0a51
15878,ee5e,214a
15879,6d30,8df0
15880,3f1f,0214
15881,4636,7f57
15882,f105,a1f7
15883,b40b,d6ba
15884,d498,47e6
15885,a66e,1483
15886,87d7,c147
15887,3ad1,381c
15888,3640,9e57
15889,2705,0223
15890,3151,5f08
15891,4c1f,90ba
15892,8d8d,4d71
15893,452c,a2bd
15894,f92f,6548
15895,7391,2382
15896,13c8,f3fd
15897,6f60,ec1e
15898,48c7,3d06
15899,6d66,82ea
15900,9294,04ac
15901,4c38,009e
15902,018c,6b79
15903,8eef,4a7d
15904,82e8,8552
15905,8928,d3a5
15906,7c86,d262
15907,dacb,a1ab
15908,5dc9,84fb
15909,5b8e,d5a3
15910,6d01,c849
15911,f28b,3fc1
15912,46b4,64a1
15913,cfc9,48c9
15914,65cb,d372
15915,e1ab,12e3
15916,2943,d918
15917,d0d4,5bf8
15918,8d6f,7f1b
15919,ac33,8c46
15920,7466,eba6
15921,ae65,89d8
15922,1eb9,6c67
15923,2a15,1c2c
15924,6d1e,8a55
15925,6101,ff05
15926,1d05,cef1
15927,151e,b47e
15928,d5ab,9a87
15929,53f9,8e65
15930,26ab,c787
15931,8a32,7bd1
15932,1e84,a033
15933,0c00,16cd
15934,2b5a,4b72
15935,e8a3,130e
15936,a824,7489
15937,ca3b,e8f7
15938,d05e,4f66
15939,4363,3e93
15940,208f,bcf6
15941,c397,fffa
15942,47fc,ff44
15943,f556,9953
15944,9676,40e7
15945,9260,24d9
15946,e098,ef6b
15947,ac73,c6e3
15948,18c5,eddf
15949,01c0,fcf5
15950,c8be,9e0d
15951,4acb,29ae
15952,9a4d,5e12
15953,e97b,678a
15954,1887,e2d8
15955,dcc0,90ef
15956,315f,be79
15957,0277,7cf0
15958,e0d2,b11b
15959,e8cf,bb58
15960,b5c0,a617
15961,0d2b,301d
15962,87c4,13a9
15963,8eda,784d
15964,2831,e9d3
15965,4fc1,70b4
15966,e181,1da4
15967,6b87,ef6f
15968,731f,8775
15969,d8d3,45fe
15970,782d,245f
15971,3af4,b100
15972,6a08,0a38
15973,4dab,3fb1
15974,e319,2f17
15975,7688,30ac
15976,258c,14de
15977,6724,98e3
15978,dd85,84ef
15979,8642,61a9
15980,ae7b,79e2
15981,cd0b,856c
15982,136b,1c40
15983,a5f2,daf0
15984,a2f0,d37b
15985,9700,81ba
15986,c58a,409a
15987,c095,1084
15988,5077,3647
15989,21f6,fbf0
15990,0a48,b854
15991,2b21,c60f
15992,73e2,d1e4
15993,a7f0,862b
15994,7f8a,d0ce
15995,7d93,8da6
15996,6b30,3ea0
15997,2b09,fb13
15998,f82e,f9cd
15999,7002,7be4
16000,0ef7,32cb
16001,b0c3,e790
16002,f6e9,1ca8
16003,3a65,f983
16004,f0dc,0a71
16005,6c2b,5795
16006,81e5,c665
16007,bdf7,b62b
16008,06c7,acf5
16009,f3b5,9aeb
16010,e6ef,23c3
16011,e316,4477
16012,c6f5,f1b7
16013,f5fa,b10a
16014,a0d6,07c4
16015,6039,ed2e
16016,3f79,c5f8
16017,4738,9abb
16018,6ced,dd1c
16019,5b96,bae8
16020,8e6a,a7c2
16021,cfa4,1a87
16022,25e2,35f8
16023,a949,2fc4
16024,2365,7a56
16025,7bf4,3ba6
16026,ab54,ee99
16027,48e5,e333
16028,aa8a,e002
16029,4ace,5164
16030,d71b,1c1f
16031,680c,f0d8
16032,aea1,2587
16033,0f28,9a3e
16034,2a37,df30
16035,1cc9,538c
16036,04ba,20f3
16037,4e60,449c
16038,501f,f732
16039,3689,a948
16040,a5fa,1b2a
16041,45bc,2075
16042,be4c,d0ba
16043,bf7f,1a7d
16044,aeaa,2ce5
16045,fe9a,359e
16046,2934,7855
16047,ec86,9adf
16048,8970,fa58
16049,f1b8,daf1
16050,ab6d,cc41
16051,608b,687c
16052,45be,ef86
16053,d108,4875
16054,8dce,c4ee
16055,8467,fb97
16056,eee9,c837
16057,4135,939e
16058,c108,40ff
16059,3465,ee2f
16060,3668,7bf5
16061,58e5,0b32
16062,1a9a,eaac
16063,5cc5,8708
16064,63dd,dea3
16065,42f6,4964
16066,0269,ffcb
16067,e85f,e9a3
16068,4b2d,de3d
16069,129a,dfc8
16070,5ca4,3a5b
16071,d4ae,24cd
16072,61ca,4ea5
16073,e5ee,2c77
16074,7179,fca4
16075,4241,f080
16076,a1f1,d341
16077,ec08,ab55
16078,1970,3b25
16079,4909,177a
16080,8d73,34eb
16081,4e57,4283
16082,e2f8,520e
16083,130d,7fff
16084,f083,69a9
16085,42c7,ebd6
16086,e490,7d41
16087,b4af,f17c
16088,4526,6eea
16089,778c,8ec2
16090,cb6f,41cc
16091,20e5,8399
16092,13f9,6e98
16093,3441,e541
16094,9a7a,1d3d
16095,ee14,ec5c
16096,719c,e205
16097,01be,e5fd
16098,1bf8,e718
16099,574b,540d
16100,f0f0,19fe
16101,0885,efdc
16102,e6fd,4cd1
16103,8d39,9055
16104,613c,84ce
16105,68c1,878b
16106,78e4,af33
16107,4ca6,3f28
16108,811b,9150
16109,53d2,b61a
16110,2092,ac54
16111,3bb6,6c22
16112,f034,d024
16113,d53e,6b13
16114,9895,0c8e
16115,5b38,7505
16116,b163,6b90
16117,1b7d,9bb8
16118,28cf,7b08
16119,f573,aa6d
16120,b50b,1360
16121,4c14,940a
16122,495c,54be
16123,7e04,b9d2
16124,2c28,f250
16125,7c10,5c7d
16126,407d,4de3
16127,ff40,265b
16128,9f0b,bf32
16129,91d6,7117
16130,bc19,1687
16131,6443,3517
16132,5b74,765f
16133,2016,45db
16134,d9aa,ed4c
16135,b0ed,f870
16136,6744,6e4c
16137,a6f8,5cbb
16138,33ee,1db9
16139,ebfb,e6d5
16140,3031,d618
16141,ea72,8ff2
16142,9def,96df
16143,4aed,e5d7
16144,8cd6,8922
16145,5945,800b
16146,3d27,1440
16147,6b34,d34b
16148,0212,6dc8
16149,0320,1a4a
16150,6727,e1cd
16151,f4a7,4fff
16152,e4d7,d55b
16153,1a3c,ca4c
16154,ca9e,f08a
16155,b2ab,e41d
16156,cf9d,b7c8
16157,20bf,805f
16158,0054,a9bc
16159,5aec,f905
16160,0f92,0125
16161,0052,1ec1
16162,5b67,b53a
16163,7294,16d2
16164,43fc,abe7
16165,6b7e,a9ba
16166,ab31,af8d
16167,10af,9dd6
16168,342e,d91e
16169,4d71,5779
16170,946e,ef8d
16171,3ebb,744d
16172,1d00,df33
16173,8d95,d5b0
16174,e157,fc41
16175,3de1,3346
16176,41c7,10fe
16177,c779,cb25
16178,f2f5,bbb3
16179,6018,de6f
16180,b0a2,6394
16181,e3d3,dba7
16182,e45b,d5aa
16183,7654,ae39
16184,4a2a,480d
16185,1ab5,871f
16186,b21c,db5c
16187,7bfa,a85f
16188,f486,a0a8
16189,23be,ed77
16190,7c5e,60ea
16191,58b5,9d49
16192,cc4b,8636
16193,c078,220d
16194,0b8e,23ea
16195,f72a,7793
16196,9798,e4fb
16197,7ce4,efe9
16198,dd5b,ca7f
16199,dcd6,ead6
16200,a4a6,da90
16201,44ce,e332
16202,c2a0,0d0a
16203,1595,57de
16204,ffc7,3365
16205,c2e5,35de
16206,b0e8,f5d4
16207,2ddb,c6aa
16208,81d0,4054
16209,9574,7a9e
16210,6a53,cd98
16211,13bb,1b0e
16212,1746,3ebd
16213,5dbd,134d
16214,465e,0e6e
16215,c3bd,10a5
16216,4a88,bbea
16217,6bd7,8ef0
16218,3240,fdec
16219,a33a,8cc8
16220,49f7,be89
16221,05ba,d0da
16222,a2af,9076
16223,5366,97f1
16224,1e0a,fe70
16225,ec09,d440
16226,8c32,adf0
16227,6176,aa4e
16228,6d55,2710
16229,f534,d0db
16230,b658,1283
16231,6438,88b1
16232,116d,f245
16233,f72c,5df4
16234,1041,3d8d
16235,11fc,b46a
16236,d483,50ef
16237,f9da,2dc2
16238,9ae9,c609
16239,d21a,ee80
16240,dcc5,302b
16241,5a30,1742
16242,ce16,ce5a
16243,8404,234e
16244,01fb,9b32
16245,bb19,86e4
16246,814a,7e2e
16247,d828,bb75
16248,0c02,849a
16249,bfa5,bacc
16250,9076,8054
16251,4b65,5778
16252,04c3,00a8
16253,2c3e,ce22
16254,57bb,fbc9
16255,e4e2,77cd
16256,432c,1fcc
16257,6854,d36e
16258,902d,bde3
16259,4136,c393
16260,1cd5,0b35
16261,8c1b,e1b9
16262,19a9,c4af
16263,8409,a5c1
16264,ce5b,7de4
16265,bd97,1437
16266,ef80,d616
16267,6689,450d
16268,133e,a459
16269,8fc5,6cbe
16270,d630,e8c9
16271,1915,2f76
16272,738e,6d33
16273,926a,803e
16274,7042,cf45
16275,b085,39c6
16276,94dc,ed6e
16277,1edb,99d2
16278,6f20,b011
16279,039f,300f
16280,ffae,2860
16281,73bc,e524
16282,cfd2,6a62
16283,a60a,6efe
16284,df2f,f84d
16285,3b59,7039
16286,2d85,33b2
16287,ee5b,83f9
16288,c3da,828f
16289,ae07,dfcf
16290,b374,45a4
16291,2e0b,b339
16292,4e47,0b38
16293,6f65,4cbd
16294,3a27,c68e
16295,431f,978c
16296,d17a,4e43
16297,fd7c,5a85
16298,a45d,5e2d
16299,63d8,0309
16300,b633,63d0
16301,8c2b,cb99
16302,fe73,9a10
16303,908f,5f06
16304,96d8,5277
16305,489a,c39b
16306,b9cf,9b44
16307,c3ab,cc60
16308,53b7,bc86
16309,5c93,e397
16310,ac82,bccf
16311,ff2d,bb87
16312,cee0,334c
16313,a929,eb3e
16314,2bba,a2e5
16315,a2ab,33c5
16316,3e1c,2945
16317,57d3,ec2e
16318,2321,dda1
16319,bc3f,63cb
16320,c73f,de9c
16321,64dd,45ba
16322,df27,4faa
16323,17c0,5638
16324,52b7,1ab9
16325,9c59,2a66
16326,fbc6,9bc4
16327,0ed2,07ca
16328,2a87,4172
16329,2436,e543
16330,28be,db21
16331,5276,c1fd
16332,5061,f5c4
16333,382a,c896
16334,efcc,bcf9
16335,491d,2c87
16336,08e9,3180
16337,22e5,6dce
16338,d6d8,b121
16339,b2b4,6bd8
16340,615d,e008
16341,e904,6912
16342,1338,a030
16343,aa92,7493
16344,0458,8aa6
16345,8f25,50d2
16346,be65,e3d6
16347,1e21,e389
16348,910a,4d01
16349,6a91,d120
16350,4a2b,e6f7
16351,c808,600d
16352,ff37,30e3
16353,d338,f03d
16354,58dc,29e1
16355,918e,7fea
16356,eefd,7d4d
16357,6e80,cbc0
16358,0c8e,a7be
16359,db87,ecf1
16360,5d88,f7b4
16361,09dd,c356
16362,dc16,dc9d
16363,e602,592d
16364,8a8b,d719
16365,2fa5,8389
16366,4f11,e3d2
16367,a191,7924
16368,0a3e,6f9f
16369,9e30,6349
16370,7f14,41ff
16371,8355,87ec
16372,8123,a7ed
16373,65b9,981a
16374,fb0c,71ea
16375,e7ec,44aa
16376,ce79,f236
16377,4dbf,d13d
16378,06b3,dbe9
16379,79a1,9496
16380,e8eb,d173
16381,e019,b01a
16382,917c,75a0
16383,948c,b04e
16384,0adc,566a
16385,2002,470b
16386,8fb4,ce84
16387,19d0,a82b
16388,8890,06fb
16389,a647,08f2
16390,3c3c,30a8
16391,d2d9,fb7b
16392,1062,4536
16393,f135,aba5
16394,c842,eebe
16395,07b3,a152
16396,a9e3,b0df
16397,2e22,b4d7
16398,cc4f,b722
16399,64b5,5ba6
16400,8575,f744
16401,5f04,c429
16402,9159,73fd
16403,8b9e,8d7e
16404,05c8,feeb
16405,5cfe,b157
16406,6685,a764
16407,497e,0468
16408,4e1b,7e4a
16409,3d4e,f4c2
16410,cc8f,8c91
16411,5392,1e0e
16412,19d9,c8a0
16413,f838,f4ca
16414,56e4,2503
16415,38d7,0f3c
16416,74b4,4620
16417,c6fb,9054
16418,9793,e96d
16419,0393,63d5
16420,906b,558f
16421,38e7,deec
16422,8c36,0193
16423,2ec5,f34b
16424,9433,429e
16425,2c6b,b143
16426,2170,24db
16427,3af0,f2c5
16428,e209,8293
16429,2d7c,8c60
16430,ad95,2b6a
16431,29ae,a034
16432,5ece,e1d1
16433,a27e,177b
16434,1662,e614
16435,c042,acfe
16436,6ce2,1bdb
16437,dfb4,8052
16438,3d72,94fe
16439,6525,5893
16440,f8f0,37f6
16441,b025,30aa
16442,6f3b,d696
16443,c850,34c9
16444,a4e2,b956
16445,90c5,8869
16446,e5b9,7660
16447,47b4,0fcd
16448,31e1,584f
16449,bb60,2aef
16450,beae,d1a6
16451,43d8,aa28
16452,6237,0e5c
16453,c011,4e0b
16454,6e00,6bcf
16455,b3fb,ffb5
16456,5078,a68e
16457,c4f1,d504
16458,dc4f,64dc
16459,9879,e225
16460,de85,86c1
16461,e0fe,b088
16462,00b9,cc3c
16463,106f,8549
16464,8b3f,bdfb
16465,f419,0148
16466,ba17,ea66
16467,e38b,2fd7
16468,aed9,9af4
16469,d7fd,c4f6
16470,b03a,23ce
16471,1813,f679
16472,3781,e752
16473,1911,2ea7
16474,16d0,fb2b
16475,375f,080c
16476,7999,3c35
16477,7ca7,9cb6
16478,86f7,39ff
16479,2bfb,acef
16480,39ed,8d9d
16481,3750,1edc
16482,c285,55b2
16483,8ed6,c402
16484,1d89,6195
16485,3d77,d199
16486,8b71,23ba
16487,27f4,8e55
16488,4b9e,7355
16489,5673,21f0
16490,7966,e97a
16491,99ee,c5d7
16492,feb6,fa60
16493,3c66,f90a
16494,d555,435a
16495,cd3b,e739
16496,f1d1,ec8d
16497,1f67,e824
16498,13a4,0146
16499,4d29,52ba
16500,637d,2af5
16501,163d,fc37
16502,3db7,e1b0
16503,e390,c3fa
16504,8fa3,5b92
16505,fcc8,2c5e
16506,5bf2,d1e3
16507,0b7b,8381
16508,ec49,89b2
16509,9f6a,5dd3
16510,77d3,9aa2
16511,ea68,27b9
16512,c1d5,2510
16513,c693,fccf
16514,5c98,87e8
16515,fff5,4cc2
16516,bb45,54a1
16517,518a,173c
16518,b7d1,3be2
16519,b1d2,e9f2
16520,3651,2e99
16521,1bdf,2543
16522,f319,37f8
16523,0fdb,26ba
16524,f0ad,2707
16525,4ea8,9844
16526,c435,0ad4
16527,9176,a575
16528,70af,7075
16529,2b42,577f
16530,fab8,0a5e
16531,6eaa,5ba5
16532,e863,0808
16533,61ee,f8a9
16534,51a6,2927
16535,b9fb,bca8
16536,8b8d,6704
16537,dbf3,5127
16538,47cd,0246
16539,1b24,96d8
16540,e8fc,1dd0
16541,6fda,2ab8
16542,9a61,2cc4
16543,9df9,dac9
16544,7128,7b2b
16545,806d,6a11
16546,9611,5f18
16547,c230,a6bc
16548,ba48,b65a
16549,e217,6ab4
16550,24c7,3509
16551,5402,07c1
16552,2109,fea6
16553,2d38,0aca
16554,bf1a,27fd
16555,ae98,6cda
16556,4780,4e73
16557,39bc,ac3a
16558,d911,e68b
16559,3425,cfe6
16560,f630,59c3
16561,2866,d3c4
16562,2521,25c9
16563,d3df,5fea
16564,dadc,d0df
16565,a2a5,3de2
16566,2645,d253
16567,8e83,0c6b
16568,cb5a,b10d
16569,2a1d,aca6
16570,535a,2df6
16571,2b99,3b09
16572,070b,66ed
16573,2e89,3917
16574,6a32,5e9b
16575,b868,70de
16576,393d,cf9d
16577,c35c,e0cc
16578,db6f,c11c
16579,8adb,c7a6
16580,7b15,a91f
16581,cb86,2298
16582,fc3a,6c42
16583,c099,5dca
16584,799b,89fa
16585,4341,edcf
16586,5027,da1c
16587,74fa,decf
16588,7448,faaf
16589,73de,0b3f
16590,3367,3105
16591,3a2f,b3c2
16592,2972,49e6
16593,dcb4,83be
16594,3bc4,10ee
16595,8cb1,867f
16596,dd7d,0783
16597,72cb,e9fd
16598,74bd,126c
16599,cdfc,7a19
16600,5b0d,98e2
16601,87d6,872e
16602,7a0e,f85a
16603,f7f4,197d
16604,f7a7,f2d1
16605,ee03,093a
16606,5fd1,9fec
16607,0b8a,2773
16608,d113,6222
16609,6c97,ec02
16610,cdda,aea8
16611,191a,29a6
16612,795b,c506
16613,ad07,4d99
16614,4cfb,f84e
16615,5b46,174e
16616,05ce,90fe
16617,df70,11c3
16618,dff5,cb84
16619,13ad,82c6
16620,1355,e9bf
16621,fd69,0010
16622,9020,1449
16623,c90f,df89
16624,ae54,89d1
16625,63fa,4215
16626,0e86,897c
16627,31d1,682d
16628,20c4,eb17
16629,cfd3,331d
16630,82b9,332a
16631,63dc,8699
16632,dfbf,8153
16633,cb62,5605
16634,26ea,6fee
16635,755f,95bf
16636,745f,45ea
16637,1fd6,2232
16638,881b,4f3d
16639,1941,8262
16640,7283,0be5
16641,5530,002d
16642,312c,bc9f
16643,c4f8,f7a3
16644,384d,c5e7
16645,ebcb,cae8
16646,3ec4,b289
16647,369f,fb12
16648,75cb,bd8c
16649,eb70,1288
16650,e2dc,0c49
16651,c4db,d6c9
16652,42db,5060
16653,2975,4e9c
16654,4765,57c3
16655,77a8,7494
16656,5409,05f8
16657,2979,ff36
16658,6e90,caa5
16659,fb1d,66af
16660,8f2e,e87e
16661,c0b4,e77e
16662,9c6b,e2d5
16663,eaaf,68cd
16664,55e9,cf3b
16665,6570,a23c
16666,a4c4,b82d
16667,b951,3c32
16668,afc9,0cda
16669,b5d4,a1a1
16670,4502,2f2b
16671,e47c,baf3
16672,d77e,0f53
16673,9018,48e9
16674,38a6,c3fd
16675,8dd9,6538
16676,11fe,5f75
16677,9d35,a6a9
16678,8e39,f955
16679,b871,dbfe
16680,e51e,2bc7
16681,1902,8932
16682,2c11,857a
16683,15ac,23bf
16684,9eab,1af3
16685,3aa3,1c39
16686,fe61,633a
16687,8872,acd0
16688,0dba,e825
16689,031a,f9c0
16690,91b1,52f2
16691,d196,ecd3
16692,5f0f,cc47
16693,5a8e,e310
16694,5d1e,c00d
16695,d26b,e97d
16696,0a5d,bfef
16697,0396,330d
16698,c6b4,a593
16699,013d,addb
16700,0cbf,dbd8
16701,9dd5,431a
16702,2f45,5b72
16703,d427,4da3
16704,43ad,a293
16705,61c3,9244
16706,a7ae,b246
16707,2155,cc68
16708,8db5,16d0
16709,9c49,8132
16710,e600,df95
16711,0325,3506
16712,1c26,9d29
16713,65c0,6200
16714,1486,a6fe
16715,1fc3,f0c7
16716,4b97,e711
16717,4ffd,73b8
16718,2a60,c898
16719,e56f,23f9
16720,1ed0,cea6
16721,d8a8,46fb
16722,b60c,52e3
16723,b66e,a688
16724,1385,3ad5
16725,cbc8,4174
16726,2183,0a4f
16727,9f83,6ef2
16728,01b7,4387
16729,c900,9f30
16730,f449,3d27
16731,278f,b016
16732,5c59,2c44
16733,209c,da30
16734,0971,2b78
16735,fb29,c604
16736,f199,c705
16737,5d4f,99bc
16738,1778,2557
16739,9877,d9f8
16740,2dfa,5f64
16741,49f2,4098
16742,18c8,5dc9
16743,0108,b33b
16744,9f6c,ce4a
16745,39da,3529
16746,74f6,0d9e
16747,870c,c5d5
16748,de49,0187
16749,6fa8,4705
16750,2ac4,d8f4
16751,e524,8bab
16752,41d6,bcdc
16753,4567,013e
16754,2799,0d39
16755,a5f3,2b54
16756,3c5d,ffce
16757,a306,3d48
16758,207c,dc60
16759,4b66,e07a
16760,838e,bd41
16761,5fdd,d83d
16762,cfb9,0fca
16763,5d27,fa77
16764,7c5f,e394
16765,7b0e,485f
16766,6993,7d95
16767,5868,0eb9
16768,09aa,3965
16769,7372,a98d
16770,bd92,1073
16771,7f31,0bdf
16772,da98,fdca
16773,dfc1,20d1
16774,c1b6,a513
16775,000f,6e06
16776,c9eb,ce0b
16777,9500,623f
16778,b199,8e6c
16779,8ca6,b38b
16780,327a,54f9
16781,6709,7f84
16782,ec5c,48a6
16783,64ee,c6a8
16784,51fd,cff4
16785,6967,3c7d
16786,c0ff,bd79
16787,f393,a9c9
16788,e5c4,bdc1
16789,672e,7f6f
16790,273a,2abd
16791,076f,975d
16792,44bd,d785
16793,edf4,0f0d
16794,0d31,579c
16795,0f6c,5c7e
16796,11c6,92e6
16797,f178,7a57
16798,9f56,9a27
16799,a1b6,26d3
16800,b30e,16db
16801,fee4,a20c
16802,4f1f,0dd3
16803,5e0c,2b07
16804,b8b7,1e08
16805,f740,aac6
16806,18ee,6306
16807,07e3,9218
16808,4870,1ff9
16809,ec65,9d3a
16810,f8c8,38ca
16811,adf6,5d45
16812,3388,3d57
16813,68c5,b90a
16814,8be0,37fb
16815,114c,b866
16816,2681,0513
16817,3d03,7319
16818,3f81,28d6
16819,25c5,2749
16820,eea1,7d76
16821,2350,0f66
16822,569c,8a95
16823,b03f,33d3
16824,371c,d1b5
16825,cd66,fbf7
16826,55ab,8a16
16827,1638,5406
16828,b9de,958b
16829,6e41,1e13
16830,26a4,cf07
16831,a3fa,acd3
16832,ba79,879f
16833,d7c1,6146
16834,bf92,9650
16835,0ede,d7ab
16836,fd64,5394
16837,df14,e75e
16838,6193,49ca
16839,c46a,d75e
16840,b006,5e78
16841,4446,e104
16842,765f,a6dc
16843,fe4f,c1aa
16844,e2c3,4123
16845,861b,4d3f
16846,bd45,2485
16847,e0c4,3368
16848,ad67,4fba
16849,42d5,8f25
16850,97f5,93a2
16851,8f27,5a66
16852,3189,2c2f
16853,2206,5b35
16854,41b6,ca86
16855,f872,da6b
16856,2c52,9b30
16857,bd74,4878
16858,d20a,7597
16859,9cb4,4ff9
16860,0800,6a06
16861,b669,9eb9
16862,8ada,0ff1
16863,4ca1,bff3
16864,7ee1,c150
16865,65f1,1a54
16866,e1a6,2b20
16867,c24f,207e
16868,e010,ba5a
16869,84fc,05fe
16870,e5c6,a944
16871,7062,4116
16872,09d6,48c6
16873,7c93,40f7
16874,4941,4ce6
16875,9516,5d61
16876,fe46,6e92
16877,cde0,369f
16878,65c2,6376
16879,bad9,d98c
16880,8add,7f3a
16881,e88a,4541
16882,9e88,c2dd
16883,8996,9470
16884,24db,850f
16885,f506,a9d2
16886,105d,cdcd
16887,8e5a,cef6
16888,00f8,85ef
16889,98c4,cd76
16890,4002,b9f6
16891,3bb3,4522
16892,6334,2d9f
16893,b4b5,eecb
16894,684a,a436
16895,69b7,56d6
16896,a743,281e
16897,1c27,063f
16898,28fd,3a36
16899,d2cf,6e83
16900,ff66,cb2e
16901,b4f1,b5ee
16902,4611,8a8b
16903,42bc,618b
16904,758d,0743
16905,de63,24f3
16906,a77a,b35e
16907,ff7e,08b7
16908,d2c2,403c
16909,1f63,f30b
16910,591b,abc9
16911,fc5f,85c3
16912,99c2,b85b
16913,d139,a907
16914,05af,aefe
16915,1eb7,54b4
16916,91ab,870d
16917,623a,7e9c
16918,ab8b,e9aa
16919,f8c4,66d8
16920,a3af,4c73
16921,8222,583a
16922,d727,d932
16923,9744,5320
16924,e093,806d
16925,801e,d897
16926,8aca,ac7b
16927,e321,5314
16928,e8e4,e013
16929,e281,384b
16930,c382,a86c
16931,71b9,4a0e
16932,6edb,97de
16933,e080,86f6
16934,d05f,c77e
16935,ce8b,685c
16936,e5a3,1488
16937,60fc,6c87
16938,ef87,e676
16939,b7d5,8911
16940,aab1,d100
16941,caf5,2a79
16942,efda,31bd
16943,c1a2,8f85
16944,cb63,1222
16945,fff7,3990
16946,7135,459e
16947,3749,4944
16948,9f58,85ec
16949,cff7,bda9
16950,7dd2,e881
16951,7476,0e4d
16952,64b0,da05
16953,7552,eb74
16954,08bb,91f2
16955,f343,a492
16956,a657,08fe
16957,b734,8478
16958,f905,1a8e
16959,9a1e,cc27
16960,ad48,5ab4
16961,56f7,3cd2
16962,dd72,1b0a
16963,2454,afff
16964,5594,86a6
16965,9c8b,2fb1
16966,d77a,ae35
16967,2f7d,650c
16968,9200,11da
16969,7e5f,9689
16970,3f42,76e9
16971,5bd5,2229
16972,2861,0509
16973,6312,ad1c
16974,247c,c610
16975,d205,de5b
16976,b88b,5108
16977,894d,0e8b
16978,c07f,d290
16979,c988,0298
16980,1e71,73da
16981,2f54,a323
16982,bc55,cba3
16983,af46,234a
16984,1399,4497
16985,ae23,698f
16986,dd97,9340
16987,2912,352c
16988,8742,641f
16989,d35c,c1f2
16990,a3ee,22d0
16991,86a6,34dd
16992,5561,ee14
16993,bda5,3757
16994,f731,a6d2
16995,d22c,1c23
16996,b601,d452
16997,e8c0,56f8
16998,02a1,8292
16999,6c87,135b
17000,31f6,36eb
17001,e3b6,4516
17002,d016,54d9
17003,c110,4a86
17004,3bdf,ab07
17005,3519,dd7d
17006,cd22,6b0a
17007,6180,2e03
17008,fa71,261c
17009,4946,466b
17010,638e,8cfe
17011,46ba,842f
17012,eb22,9720
17013,c9de,0590
17014,6a3f,42f5
17015,f69b,f1d3
17016,7dad,1df0
17017,5cbf,4a04
17018,e391,efb4
17019,95c1,a4a4
17020,1f76,e4cb
17021,f418,eebb
17022,6852,00aa
17023,7bb7,2355
17024,2df4,df7c
17025,a00c,3311
17026,bcce,b56a
17027,26fd,3533
17028,081c,9143
17029,ad8c,65da
17030,8cb7,6fb4
17031,436c,7e0a
17032,7e34,b1d0
17033,0a85,f7a4
17034,d22a,e24d
17035,28fa,5c06
17036,7b25,c7a9
17037,5068,c76a
17038,69e0,c712
17039,7a95,42a2
17040,a930,17d1
17041,e4eb,e0cf
17042,fc9d,050f
17043,674b,c5d6
17044,fe91,36e7
17045,f9d2,c2ff
17046,c8b1,ccc1
17047,04a5,b6ca
17048,99c1,8014
17049,60d0,2a58
17050,5ab5,0736
17051,02f2,f2a4
17052,7c24,ebdd
17053,8183,0cec
17054,5c37,3c72
17055,1b16,2150
17056,e7db,3779
17057,6070,ff3c
17058,9ff2,e831
17059,275a,8993
17060,5e06,b6ba
17061,96ed,0dab
17062,c8c8,a7c9
17063,2924,b4f2
17064,6f2d,44ac
17065,ed9a,f060
17066,e08f,ed2b
17067,6226,7e05
17068,145d,502f
17069,d538,9ac9
17070,4faf,9ebf
17071,c8ca,ffc8
17072,4969,297a
17073,a29f,094c
17074,e762,8ad8
17075,a0b4,f219
17076,9e39,03a8
17077,e40d,16cb
17078,d5fc,4b84
17079,04f1,8296
17080,3b37,de69
17081,fcdf,76dd
17082,0456,bafc
17083,3528,211d
17084,aa57,6d6b
17085,8b2b,8e76
17086,d00e,586d
17087,71cd,b860
17088,f7d9,2768
17089,561b,1b79
17090,bdb3,e1ce
17091,cc0f,df8a
17092,7d3e,f43d
17093,dc37,7035
17094,a4c5,6e58
17095,2097,9035
17096,cff3,f619
17097,d65d,fc96
17098,1966,8547
17099,2911,a77e
17100,d689,3f4b
17101,6d86,8691
17102,a648,0082
17103,3f97,6c90
17104,0f30,dc17
17105,6db9,76a7
17106,398a,f09f
17107,1b15,2a54
17108,afa7,ccf5
17109,3ac7,1798
17110,8b99,3546
17111,0edc,c6ba
17112,570b,fbc3
17113,4a20,0f70
17114,f742,b856
17115,52a4,55c5
17116,cb85,f961
17117,eb3b,7c98
17118,1e8b,43fd
17119,cbad,afcd
17120,84ea,c038
17121,09ab,e2a0
17122,fab4,737c
17123,7817,d502
17124,3cdd,af2d
17125,d551,2b5f
17126,109d,082b
17127,d12e,c512
17128,5904,c8bb
17129,ab9d,a6dd
17130,b8c4,5587
17131,e1e9,c044
17132,5900,cdcb
17133,88a1,8080
17134,2d0c,dc0a
17135,036c,a610
17136,1880,32d8
17137,6010,32f9
17138,bfa4,4111
17139,571e,250c
17140,673b,dff4
17141,5ed3,6938
17142,36f6,e0f0
17143,cc35,002b
17144,97cc,2eb2
17145,2999,5e5c
17146,d117,10ab
17147,ac44,3e59
17148,3cad,a8f1
17149,d235,ea0d
17150,5546,8f04
17151,9583,cbda
17152,4e51,6d2c
17153,3371,d71e
17154,139b,e720
17155,2ba8,9626
17156,d68a,a46a
17157,7df6,2770
17158,055e,c9e4
17159,c7fc,8530
17160,9478,79f5
17161,5746,aa40
17162,5457,91dc
17163,a9ca,8918
17164,8424,d30a
17165,ed33,cc7d
